?x	?p	?y
<http://purl.obolibrary.org/obo/CLO_0003644>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0007634>	<http://purl.obolibrary.org/obo/CLO_0000015>	<http://purl.obolibrary.org/obo/DOID_3458>
<http://purl.obolibrary.org/obo/CLO_0006802>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bf4c253b40b69ff8ef985b725d9ebfb3f
<http://purl.obolibrary.org/obo/CLO_0003468>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bd5f198b61fe6db027c550fdd96422171
<http://purl.obolibrary.org/obo/CLO_0003592>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000002>
<http://purl.obolibrary.org/obo/CLO_0002211>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B9e4ab2e55da2b5b98e5d56bf85808211
<http://purl.obolibrary.org/obo/CLO_0008191>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B172f0dd4eb9fbfcb07cb017e7e6f9953
<http://purl.obolibrary.org/obo/CLO_0002035>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bba29d66f422f666e365e46571a4dea11
<http://purl.obolibrary.org/obo/CLO_0006671>	<http://purl.obolibrary.org/obo/CLO_0000179>	<http://purl.obolibrary.org/obo/DOID_1909>
<http://purl.obolibrary.org/obo/CLO_0003844>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0000075>	<http://purl.obolibrary.org/obo/RO_0001000>	<http://purl.obolibrary.org/obo/CL_0000186>
<http://purl.obolibrary.org/obo/CLO_0003519>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bdcb3f40073ad30d49f3e8d1c2554c24a
<http://purl.obolibrary.org/obo/CLO_0007952>	<http://purl.obolibrary.org/obo/CLO_0000179>	<http://purl.obolibrary.org/obo/DOID_0070004>
<http://purl.obolibrary.org/obo/CLO_0008432>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B4aacec2bdf46fbe6ea362603f17154ec
<http://purl.obolibrary.org/obo/CLO_0006805>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B069a6f12f0bbbf418fe2d5e3ad3bdd7a
<http://purl.obolibrary.org/obo/CLO_0002209>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B180617d397cd89e3d92b911c0473c154
<http://purl.obolibrary.org/obo/CLO_0008428>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0009207>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B7b8b2a46dd6769de248618237182f384
<http://purl.obolibrary.org/obo/CLO_0003450>	<http://purl.obolibrary.org/obo/CLO_0000015>	<http://purl.obolibrary.org/obo/DOID_3068>
<http://purl.obolibrary.org/obo/CLO_0004116>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0007729>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bcecc2fde52a7528da2218babc12e9c11
<http://purl.obolibrary.org/obo/CLO_0008496>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000002>
<http://purl.obolibrary.org/obo/CLO_0007419>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B22cccfb1bb164ebecf9b9124aaae9323
<http://purl.obolibrary.org/obo/CLO_0004222>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0005843>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bd3a4ecab787ba48cb2e8a3b489963733
<http://purl.obolibrary.org/obo/CLO_0007063>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000040>
<http://purl.obolibrary.org/obo/CLO_0008723>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B5283c123043b0adade86de6f863f02a8
<http://purl.obolibrary.org/obo/CLO_0007606>	<http://purl.obolibrary.org/obo/CLO_0000179>	<http://purl.obolibrary.org/obo/DOID_3458>
<http://purl.obolibrary.org/obo/CLO_0051383>	<http://purl.obolibrary.org/obo/CLO_0000015>	<http://purl.obolibrary.org/obo/DOID_8618>
<http://purl.obolibrary.org/obo/CLO_0008547>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B16fc0973e12881596f6a33b176224946
<http://purl.obolibrary.org/obo/CLO_0005762>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B73cd930b43122e4b479f6791d7f3eae1
<http://purl.obolibrary.org/obo/CLO_0006021>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B9c1127aaa877331f2e14c0530ef9682c
<http://purl.obolibrary.org/obo/CLO_0005586>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bd3ebc6ea48b030dfdf734e681477a0e2
<http://purl.obolibrary.org/obo/CLO_0007114>	<http://purl.obolibrary.org/obo/RO_0001000>	<http://purl.obolibrary.org/obo/CL_0000081>
<http://purl.obolibrary.org/obo/CLO_0002631>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0004153>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B45b96d00d1687989284f00713ace77a4
<http://purl.obolibrary.org/obo/CLO_0004153>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0005813>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B13265bdbdbb6b8d77e9f3c7d74884b07
<http://purl.obolibrary.org/obo/CLO_0009921>	<http://purl.obolibrary.org/obo/CLO_0000015>	<http://purl.obolibrary.org/obo/DOID_305>
<http://purl.obolibrary.org/obo/CLO_0001192>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000002>
<http://purl.obolibrary.org/obo/CLO_0008770>	<http://purl.obolibrary.org/obo/CLO_0000179>	<http://purl.obolibrary.org/obo/DOID_3247>
<http://purl.obolibrary.org/obo/CLO_0005637>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bff91bf3f4de6329a16ad5e0f160ff751
<http://purl.obolibrary.org/obo/CLO_0002852>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B5c685f5177e58bb89e53988e8db8e54a
<http://purl.obolibrary.org/obo/CLO_0002852>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0002803>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0002676>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000002>
<http://purl.obolibrary.org/obo/CLO_0037108>	<http://purl.obolibrary.org/obo/CLO_0000015>	<http://purl.obolibrary.org/obo/DOID_4074>
<http://purl.obolibrary.org/obo/CLO_0004204>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0005018>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B249892e7b7ffbf0fe1098f03169d0783
<http://purl.obolibrary.org/obo/CLO_0004879>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bf8b63a514fed6a03b0610f536c1b46dd
<http://purl.obolibrary.org/obo/CLO_0004028>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bb1f381bc81bb686341722f4470b498b4
<http://purl.obolibrary.org/obo/CLO_0002903>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000002>
<http://purl.obolibrary.org/obo/CLO_0001067>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000002>
<http://purl.obolibrary.org/obo/CLO_0002727>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B9a7ba518f68ba258b92d297e7b803fa9
<http://purl.obolibrary.org/obo/CLO_0007800>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Ba9b104a72d33a7929e07e9f173daf4f6
<http://purl.obolibrary.org/obo/CLO_0037063>	<http://purl.obolibrary.org/obo/CLO_0000179>	<http://purl.obolibrary.org/obo/DOID_0060060>
<http://purl.obolibrary.org/obo/CLO_0037063>	<http://purl.obolibrary.org/obo/CLO_0000015>	<http://purl.obolibrary.org/obo/DOID_0060060>
<http://purl.obolibrary.org/obo/CLO_0009181>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B586d7b1bffee8a92b2e01acd3adedd9a
<http://purl.obolibrary.org/obo/CLO_0009181>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0006848>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bbd53b7f298724849f927ff0ac8e3b517
<http://purl.obolibrary.org/obo/CLO_0009185>	<http://purl.obolibrary.org/obo/CLO_0000015>	<http://purl.obolibrary.org/obo/DOID_3959>
<http://purl.obolibrary.org/obo/CLO_0007880>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0002867>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0001596>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Ba508575598b02358785de911adb01975
<http://purl.obolibrary.org/obo/CLO_0037114>	<http://purl.obolibrary.org/obo/CLO_0000179>	<http://purl.obolibrary.org/obo/DOID_4074>
<http://purl.obolibrary.org/obo/CLO_0037114>	<http://purl.obolibrary.org/obo/CLO_0000015>	<http://purl.obolibrary.org/obo/DOID_4074>
<http://purl.obolibrary.org/obo/CLO_0009232>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B990a5d59d83cac41664c1ede919696c1
<http://purl.obolibrary.org/obo/CLO_0005085>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B40dacc61b38c285e8889874d9662a0c1
<http://purl.obolibrary.org/obo/CLO_0009056>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B5c4d760ff5cabe7fe37d67661bd763f9
<http://purl.obolibrary.org/obo/CLO_0006271>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bac2ff01778e9656018cd9d85c81d1f26
<http://purl.obolibrary.org/obo/CLO_0005557>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B26fb58c35c4b48a98fd6698d6435df5b
<http://purl.obolibrary.org/obo/CLO_0008865>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000002>
<http://purl.obolibrary.org/obo/CLO_0007931>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bac990a499e681e8ff3922fd0d2be274a
<http://purl.obolibrary.org/obo/CLO_0006698>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000002>
<http://purl.obolibrary.org/obo/CLO_0007284>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B1be84819242b04c0734bba35910cf1aa
<http://purl.obolibrary.org/obo/CLO_0006095>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bd7f76363ebb28b5ef66c3d38c04cb12e
<http://purl.obolibrary.org/obo/CLO_0009421>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B68a5a3c0cafcfff9ba6e1d9ce1a4a36c
<http://purl.obolibrary.org/obo/CLO_0007755>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B53eb2294db8d9f2bb4a5332079d6231f
<http://purl.obolibrary.org/obo/CLO_0004970>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bf8d9e45e07c2c431d8e2d547dbca4612
<http://purl.obolibrary.org/obo/CLO_0003534>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bed4ce45ffd96c20f8bd9c3082788c881
<http://purl.obolibrary.org/obo/CLO_0007579>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bb7972d5e23455691ed5687df71fb399e
<http://purl.obolibrary.org/obo/CLO_0007579>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0001601>	<http://purl.obolibrary.org/obo/CLO_0000179>	<http://purl.obolibrary.org/obo/DOID_3908>
<http://purl.obolibrary.org/obo/CLO_0004794>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bce03a4f0a4928af37d01386c0d8d85c0
<http://purl.obolibrary.org/obo/CLO_0002191>	<http://purl.obolibrary.org/obo/CLO_0000015>	<http://purl.obolibrary.org/obo/DOID_3907>
<http://purl.obolibrary.org/obo/CLO_0009107>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B9e96183d63a1d145468f997e921e882a
<http://purl.obolibrary.org/obo/CLO_0009107>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0006322>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bd97a335e28267898e3328ab797924219
<http://purl.obolibrary.org/obo/CLO_0007047>	<http://purl.obolibrary.org/obo/CLO_0000015>	<http://purl.obolibrary.org/obo/DOID_1240>
<http://purl.obolibrary.org/obo/CLO_0005057>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B39e3377c17788f1eecdb35670d6ef941
<http://purl.obolibrary.org/obo/CLO_0006146>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B783bd0c9a66ec3adc90081d1a4f1848b
<http://purl.obolibrary.org/obo/CLO_0003361>	<http://purl.obolibrary.org/obo/RO_0001000>	_:Bb81a79288432dd9d3966bf3dcdbd478e
<http://purl.obolibrary.org/obo/CLO_0003361>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0007806>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B28bd78bbe9323ddb2ad59f10a025f6e6
<http://purl.obolibrary.org/obo/CLO_0007806>	<http://purl.obolibrary.org/obo/OBI_0000295>	<http://purl.obolibrary.org/obo/CLO_0000003>
<http://purl.obolibrary.org/obo/CLO_0006054>	<http://purl.obolibrary.org/obo/RO_0001000>	_:B5730838995ffe763d14e385da76dd370
